Generation,Individual,theta_5_c,pr_scbc,theta_w_c,pr_orc,Fitness,ThermalEfficiency,ExergyEfficiency,Cost
2,17,571.7875,2.7857,122.1828,3.6642,0.425900,N/A,N/A,N/A
2,18,576.6717,2.6550,123.0081,2.9237,0.423500,N/A,N/A,N/A
2,19,576.6717,2.6550,123.0081,2.9237,0.423500,N/A,N/A,N/A
2,20,560.7249,3.2221,117.1989,3.2328,0.420800,N/A,N/A,N/A
2,21,560.7249,3.2221,117.1989,2.7939,0.418700,N/A,N/A,N/A
2,22,550.9319,3.5777,112.7968,3.3147,0.414500,N/A,N/A,N/A
2,23,550.9319,3.5777,112.7968,3.3147,0.414500,N/A,N/A,N/A
2,24,564.1671,3.1279,114.2518,2.9339,0.421200,N/A,N/A,N/A
2,25,564.1671,3.1279,113.9299,2.8139,0.420600,N/A,N/A,N/A
2,26,575.1089,2.7505,125.2785,2.9314,0.424100,N/A,N/A,N/A
2,27,575.1089,3.1371,125.2785,2.9314,0.426000,N/A,N/A,N/A
2,28,581.6122,3.0420,113.4354,3.2496,0.430200,N/A,N/A,N/A
2,29,581.6122,3.0420,114.8558,3.2496,0.430200,N/A,N/A,N/A
2,30,557.8446,2.5831,116.5440,3.5400,0.417200,N/A,N/A,N/A
2,31,586.6842,4.0000,110.0596,3.2281,0.428300,N/A,N/A,N/A
2,32,576.7557,2.7761,122.2030,3.0301,0.425500,N/A,N/A,N/A
2,33,576.7557,2.7761,122.2030,3.0301,0.425500,N/A,N/A,N/A
2,34,575.4551,3.3291,110.4028,2.8149,0.425500,N/A,N/A,N/A
2,35,560.9600,3.0515,110.4028,2.8149,0.419100,N/A,N/A,N/A
2,36,579.3968,3.9603,114.9408,3.2443,0.425100,N/A,N/A,N/A
2,37,579.3968,3.7778,114.9408,3.1993,0.426700,N/A,N/A,N/A
2,38,567.9858,3.6450,109.6992,3.0707,0.421500,N/A,N/A,N/A
2,39,577.1088,3.6450,109.6992,3.0707,0.425900,N/A,N/A,N/A
2,40,568.9266,3.1706,116.3762,3.3593,0.425200,N/A,N/A,N/A
2,41,568.9266,3.3411,116.3762,3.3593,0.424900,N/A,N/A,N/A
2,42,571.5870,3.5922,110.2372,3.2315,0.424400,N/A,N/A,N/A
2,43,571.5870,3.5922,115.0131,3.2315,0.424400,N/A,N/A,N/A
2,44,577.7507,3.2896,117.6372,3.1353,0.428100,N/A,N/A,N/A
2,45,584.4596,3.2896,114.9888,3.0335,0.430700,N/A,N/A,N/A
2,46,597.9496,2.8199,124.5324,3.3197,0.435600,N/A,N/A,N/A
