Generation,Individual,theta_5_c,pr_scbc,theta_w_c,pr_orc,Fitness,ThermalEfficiency,ExergyEfficiency,Cost
2,23,539.5561,3.0308,129.1153,3.6153,0.500300,0.412300,0.632300,N/A
2,24,564.2901,3.3917,109.3445,3.4574,0.509100,0.422900,0.638400,N/A
2,25,557.2166,3.3917,109.3445,3.4420,0.506000,0.419400,0.635900,N/A
2,26,560.3976,2.8066,120.2776,3.2067,0.505620,0.419500,0.634800,N/A
2,27,560.3976,2.8066,120.2776,3.0496,0.504800,0.418800,0.633800,N/A
2,28,575.4917,3.8648,114.8712,3.2721,0.509100,0.424300,0.636300,N/A
2,29,577.5352,3.7134,122.0472,3.5344,0.512820,0.427700,0.640500,N/A
2,30,553.6543,3.1754,114.8687,2.8432,0.502140,0.415700,0.631800,N/A
2,31,551.0749,3.1754,114.8687,2.8432,0.501060,0.414500,0.630900,N/A
2,32,573.7692,4.0000,119.1697,2.7600,0.503440,0.419400,0.629500,N/A
2,33,575.6029,3.5998,114.0295,2.7600,0.508580,0.423900,0.635600,N/A
2,34,575.5456,3.3311,113.9055,3.1353,0.512320,0.427000,0.640300,N/A
2,35,575.6086,3.5877,112.3683,3.1353,0.510980,0.425900,0.638600,N/A
2,36,573.2351,3.1237,121.0671,3.0427,0.511140,0.425700,0.639300,N/A
2,37,583.0353,3.1237,123.1273,3.0427,0.514800,0.430000,0.642000,N/A
2,38,569.2152,3.2628,110.1657,3.0965,0.509780,0.424100,0.638300,N/A
2,39,569.2152,3.1234,110.1657,3.0965,0.509920,0.424200,0.638500,N/A
2,40,551.6504,2.7763,118.7076,3.6494,0.504140,0.417100,0.634700,N/A
2,41,551.6504,3.0407,119.1918,3.5011,0.504820,0.417700,0.635500,N/A
2,42,583.0353,3.1237,125.2921,3.0427,0.514800,0.430000,0.642000,N/A
2,43,575.9018,3.1237,121.0671,3.0427,0.512140,0.426900,0.640000,N/A
2,44,583.0353,3.1237,120.1870,2.8919,0.514040,0.429400,0.641000,N/A
2,45,583.0353,3.1237,124.8914,3.0427,0.514800,0.430000,0.642000,N/A
2,46,551.3197,3.5916,118.3257,2.8638,0.498520,0.412400,0.627700,N/A
2,47,551.3197,3.6220,120.0985,2.9447,0.498720,0.412600,0.627900,N/A
2,48,565.6195,2.7705,122.7595,3.3034,0.507560,0.421800,0.636200,N/A
2,49,565.6195,2.5841,122.7595,3.3034,0.504780,0.419500,0.632700,N/A
2,50,555.8418,2.9361,120.2382,2.2547,0.498720,0.413200,0.627000,N/A
3,1,594.2471,3.2135,118.5939,3.7120,0.522340,0.437700,0.649300,N/A
3,2,570.7401,3.5582,119.5453,3.6865,0.511840,0.426000,0.640600,N/A
3,3,583.0353,3.1237,125.8306,2.8688,0.513840,0.429200,0.640800,N/A
